home_team,away_team,actual_total,minimum_line,sim_mean,hit_rate,cushion,hit_over
Wisconsin,BYU,168,156.0,168.03451322149485,75.32,12.034513221494848,True
App State,Charlotte,128,134.5,146.73852119308282,71.47,12.238521193082818,False
Eastern Mich.,Oakland,188,143.0,155.2388336916652,72.99,12.238833691665207,True
Arkansas,Jackson St.,176,152.5,164.688291154579,75.69,12.188291154578991,True
West Ga.,USC Upstate,136,137.5,149.27279628571733,74.08,11.772796285717334,False
Cincinnati,Louisville,138,148.5,160.6787618164747,77.27000000000001,12.17876181647469,False
Canisius,UMES,117,132.0,144.05924541729712,69.3,12.05924541729712,False
Clemson,West Virginia,137,136.0,148.04017317001694,86.05000000000001,12.040173170016942,True
Rutgers,Central Conn. St.,121,132.0,143.85541346220626,76.05,11.855413462206258,False
Michigan St.,Detroit Mercy,140,148.0,160.0129303266014,85.04,12.012930326601406,False
Marist,Army West Point,141,137.5,149.28742517319017,74.5,11.787425173190172,True
Old Dominion,Morgan St.,144,153.0,164.90059712566332,77.51,11.900597125663325,False
Drexel,Penn,152,146.5,158.71918659056394,83.39999999999999,12.219186590563936,True
Kentucky,Loyola Maryland,134,150.0,161.95593011154247,69.19999999999999,11.955930111542472,False
Radford,UNCW,154,142.0,153.89966665300122,72.67,11.89966665300122,True
East Carolina,Charleston So.,142,147.5,159.59476181994077,72.61,12.094761819940771,False
Wofford,Erskine,138,138.0,150.1186604361206,76.09,12.118660436120592,False
Siena,UAlbany,136,143.5,155.278105270311,93.93,11.778105270310988,False
ETSU,Morehead St.,139,135.0,147.05668531746292,74.8,12.056685317462922,True
Virginia,Northwestern,161,150.5,162.4936642736312,77.7,11.993664273631197,True
