home_team,away_team,actual_total,maximum_line,sim_mean,under_hit_rate,cushion,under_won,margin,prediction_error,game_date
N.C. A&T,South Carolina St.,147,153.5169873427768,141.5169873427768,83.82,6.516987342776787,True,6.516987342776787,5.483012657223213,2025-11-10
UT Martin,Ky. Christian,139,147.91415996408585,135.91415996408585,82.84,8.914159964085854,True,8.914159964085854,3.0858400359141456,2025-11-09
South Carolina,Southern Miss.,162,167.29516131920707,155.29516131920707,87.02,5.295161319207068,True,5.295161319207068,6.704838680792932,2025-11-09
Baylor,Washington,147,177.84773791250404,165.84773791250404,82.56,30.847737912504044,True,30.847737912504044,-18.847737912504044,2025-11-09
Memphis,San Francisco,146,167.0096088545694,155.0096088545694,89.78,21.009608854569393,True,21.009608854569393,-9.009608854569393,2025-11-08
Kansas St.,Bellarmine,169,179.67917604335514,167.67917604335514,80.2,10.679176043355142,True,10.679176043355142,1.3208239566448583,2025-11-08
BYU,Holy Cross,151,176.38558443038735,164.38558443038735,80.02,25.385584430387354,True,25.385584430387354,-13.385584430387354,2025-11-08
Toledo,Marshall,158,174.74522820782823,162.74522820782823,81.2,16.745228207828234,True,16.745228207828234,-4.745228207828234,2025-11-08
Florida A&M,Kennesaw St.,164,169.4713098776838,157.4713098776838,85.32,5.471309877683808,True,5.471309877683808,6.528690122316192,2025-11-08
Binghamton,Niagara,126,164.9201614169486,152.9201614169486,80.16,38.92016141694859,True,38.92016141694859,-26.920161416948588,2025-11-08
UCF,Vanderbilt,198,180.1112039135547,168.1112039135547,84.72,-17.888796086445296,False,-17.888796086445296,29.888796086445296,2025-11-08
Richmond,East Carolina,159,169.63774903250095,157.63774903250095,81.52000000000001,10.637749032500949,True,10.637749032500949,1.362250967499051,2025-11-08
Fla. Atlantic,Col. of Charleston,171,160.57200000922228,148.57200000922228,81.96,-10.427999990777721,False,-10.427999990777721,22.42799999077772,2025-11-08
Colorado,Eastern Wash.,199,162.75534857761417,150.75534857761417,80.5,-36.24465142238583,False,-36.24465142238583,48.24465142238583,2025-11-08
St. Thomas (MN),Army West Point,159,170.56989051907024,158.56989051907024,84.17999999999999,11.569890519070242,True,11.569890519070242,0.4301094809297581,2025-11-08
Nevada,Pacific,155,168.40920167859332,156.40920167859332,86.74,13.40920167859332,True,13.40920167859332,-1.4092016785933197,2025-11-08
Seattle U,Cal Poly,144,165.04933920685468,153.04933920685468,80.86,21.049339206854683,True,21.049339206854683,-9.049339206854683,2025-11-08
UC San Diego,Houston Christian,138,170.16977886567557,158.16977886567557,84.14,32.16977886567557,True,32.16977886567557,-20.169778865675568,2025-11-08
Villanova,Queens (NC),168,180.01317374826664,168.01317374826664,80.44,12.013173748266638,True,12.013173748266638,-0.013173748266638086,2025-11-08
Delaware,Wilmington (DE),133,160.18973655373483,148.18973655373483,80.54,27.189736553734832,True,27.189736553734832,-15.189736553734832,2025-11-07
Buffalo,Green Bay,159,174.96256684181552,162.96256684181552,81.62,15.962566841815516,True,15.962566841815516,-3.9625668418155158,2025-11-07
Brown,Siena,108,163.215105974092,151.215105974092,82.6,55.21510597409201,True,55.21510597409201,-43.21510597409201,2025-11-07
Iona,Hofstra,154,167.23681011650413,155.23681011650413,81.88,13.236810116504131,True,13.236810116504131,-1.236810116504131,2025-11-07
North Carolina,Kansas,161,165.3986914303714,153.3986914303714,85.88,4.3986914303714,True,4.3986914303714,7.6013085696286,2025-11-07
Louisiana,Southeastern La.,110,157.8901962452148,145.8901962452148,89.75999999999999,47.89019624521481,True,47.89019624521481,-35.89019624521481,2025-11-07
Eastern Ill.,Nicholls,122,153.49005640696166,141.49005640696166,82.62,31.490056406961656,True,31.490056406961656,-19.490056406961656,2025-11-07
Ole Miss,ULM,151,148.18300821722696,136.18300821722696,81.42,-2.8169917827730444,False,-2.8169917827730444,14.816991782773044,2025-11-07
Missouri,Southeast Mo. St.,173,163.39996629458744,151.39996629458744,86.7,-9.600033705412557,False,-9.600033705412557,21.600033705412557,2025-11-07
Saint Mary's (CA),Chattanooga,153,170.79366771431376,158.79366771431376,85.64,17.793667714313756,True,17.793667714313756,-5.793667714313756,2025-11-07
Oregon St.,UIC,149,159.06675783706604,147.06675783706604,84.72,10.066757837066035,True,10.066757837066035,1.933242162933965,2025-11-07
Washington,Denver,154,177.41985787731738,165.41985787731738,82.52000000000001,23.419857877317384,True,23.419857877317384,-11.419857877317384,2025-11-06
Ohio,Illinois St.,140,174.3142315073415,162.3142315073415,80.78,34.3142315073415,True,34.3142315073415,-22.314231507341503,2025-11-06
Southern Miss.,Tougaloo,150,155.36580478553282,143.36580478553282,80.0,5.365804785532816,True,5.365804785532816,6.634195214467184,2025-11-06
TCU,Saint Francis,167,166.02893005759438,154.02893005759438,80.42,-0.9710699424056202,False,-0.9710699424056202,12.97106994240562,2025-11-06
Iowa St.,Grambling,164,169.09827688826118,157.09827688826118,83.82,5.098276888261182,True,5.098276888261182,6.901723111738818,2025-11-06
